,book_id_title,book_id,cover_image_uri,book_title,book_series,book_settings,book_characters,book_language,year_first_published,authorlink,author,num_pages,format,genres,people_curr_read,peop_want_to_read,num_ratings,num_reviews,average_rating,rating_distribution,awards,awards_count,awards_bins
1077,403355.Pellucidar,403355,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328818858i/403355.jpg,Pellucidar,['Pellucidar'],['Pellucidar'],"['David Innes', 'Abner Perry']",English,1915,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,167.0,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Science Fiction Fantasy']",159.0,1221.0,2642,153,3.78,"{'5 Stars': 675, '4 Stars': 930, '3 Stars': 850, '2 Stars': 159, '1 Star': 28}",[],2,"(1.307, 140.6]"
1078,40372.Pirates_of_Venus,40372,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644464721i/40372.jpg,Pirates of Venus,['Venus'],,,English,1935,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,179.0,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Pulp', 'Adventure', 'Sword and Planet', 'Classics']",208.0,1646.0,1785,152,3.69,"{'5 Stars': 401, '4 Stars': 616, '3 Stars': 606, '2 Stars': 137, '1 Star': 25}",[],2,"(1.307, 140.6]"
1079,40376.Swords_of_Mars,40376,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330992290i/40376.jpg,Swords of Mars,['Barsoom'],"['Barsoom', 'Thuria']","['Dejah Thoris', 'John Carter', 'Fal Silvas']",English,1935,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,191.0,Mass Market Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet']",269.0,3058.0,3560,121,3.84,"{'5 Stars': 925, '4 Stars': 1338, '3 Stars': 1106, '2 Stars': 167, '1 Star': 24}",[],2,"(1.307, 140.6]"
1080,40378.The_Chessmen_of_Mars,40378,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328773629i/40378.jpg,The Chessmen of Mars,['Barsoom'],['Barsoom'],"['John Carter', 'Tara', 'Gahan of Gathol']",English,1922,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,5.0,Audio CD,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy']",404.0,4457.0,8011,331,3.83,"{'5 Stars': 2156, '4 Stars': 2911, '3 Stars': 2453, '2 Stars': 427, '1 Star': 64}",[],2,"(1.307, 140.6]"
1081,40379.The_Warlord_of_Mars,40379,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328773630i/40379.jpg,The Warlord of Mars,['Barsoom'],['Barsoom'],"['Dejah Thoris', 'John Carter', 'Tars Tarkas', 'Thuvia', 'Carthoris', 'Mors Kajak', 'Tardos Mors', 'Woola', 'Kantos Kan']",English,1916,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,6.0,Audio CD,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy']",398.0,5518.0,15207,718,3.87,"{'5 Stars': 4259, '4 Stars': 5692, '3 Stars': 4323, '2 Stars': 811, '1 Star': 122}",[],2,"(1.307, 140.6]"
1082,40384.Synthetic_Men_of_Mars,40384,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387740318i/40384.jpg,Synthetic Men of Mars,['Barsoom'],['Barsoom'],"['John Carter', 'Ras Thavas', 'Vor Daj']",English,1939,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,160.0,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet']",234.0,2997.0,3237,110,3.8,"{'5 Stars': 822, '4 Stars': 1163, '3 Stars': 1065, '2 Stars': 158, '1 Star': 29}",[],2,"(1.307, 140.6]"
1083,40385.The_Master_Mind_of_Mars,40385,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403797109i/40385.jpg,The Master Mind of Mars,['Barsoom'],['Barsoom'],"['John Carter', 'Ras Thavas', 'Ulysses Paxton']",English,1927,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,160.0,Mass Market Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet']",444.0,3564.0,5071,169,3.86,"{'5 Stars': 1370, '4 Stars': 1910, '3 Stars': 1517, '2 Stars': 240, '1 Star': 34}",[],2,"(1.307, 140.6]"
1084,40386.A_Fighting_Man_of_Mars,40386,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390949180i/40386.jpg,A Fighting Man of Mars,['Barsoom'],['Barsoom'],"['John Carter', 'Tan Hadron of Hastor', 'Tavia']",English,1930,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,239.0,Mass Market Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet']",418.0,3147.0,4026,157,3.86,"{'5 Stars': 1093, '4 Stars': 1516, '3 Stars': 1205, '2 Stars': 182, '1 Star': 30}",[],2,"(1.307, 140.6]"
1085,40387.Thuvia_Maid_of_Mars,40387,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444245322i/40387.jpg,"Thuvia, Maid of Mars",['Barsoom'],"['Barsoom', 'Africa']","['Thuvia', 'Carthoris']",English,1916,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,160.0,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy']",445.0,4403.0,9697,388,3.77,"{'5 Stars': 2446, '4 Stars': 3380, '3 Stars': 3133, '2 Stars': 646, '1 Star': 92}",[],2,"(1.307, 140.6]"
1086,40388.John_Carter_of_Mars,40388,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663444505i/40388.jpg,John Carter of Mars,['Barsoom'],"['Barsoom', 'Sasoom']","['Dejah Thoris', 'John Carter', 'Tars Tarkas', 'Kantos Kan']",English,1943,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,167.0,Mass Market Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Sword and Planet']",964.0,4184.0,4577,141,3.83,"{'5 Stars': 1331, '4 Stars': 1596, '3 Stars': 1266, '2 Stars': 303, '1 Star': 81}",[],2,"(1.307, 140.6]"
